team_name,team_abbrv,team_url_name,team_url,win_total,tony_win_total_pick_flag,tony_win_total_confidence,tony_win_total_pick_num,andrew_win_total_pick_flag,andrew_win_total_confidence,andrew_win_total_pick_num
Atlanta Hawks,ATL,atlanta-hawks,http://espn.go.com/nba/team/_/name/atl/atlanta-hawks,49.5,o,22,,o,2,
Boston Celtics,BOS,boston-celtics,http://espn.go.com/nba/team/_/name/bos/boston-celtics,42.5,o,2,,o,17,
Brooklyn Nets,BKN,brooklyn-nets,http://espn.go.com/nba/team/_/name/bkn/brooklyn-nets,28.5,u,16,,u,9,
Charlotte Hornets,CHA,charlotte-hornets,http://espn.go.com/nba/team/_/name/cha/charlotte-hornets,32.5,u,1,,u,6,
Chicago Bulls,CHI,chicago-bulls,http://espn.go.com/nba/team/_/name/chi/chicago-bulls,49.5,o,15,,o,26,
Cleveland Cavaliers,CLE,cleveland-cavaliers,http://espn.go.com/nba/team/_/name/cle/cleveland-cavaliers,56.5,u,8,,u,10,
Dallas Mavericks,DAL,dallas-mavericks,http://espn.go.com/nba/team/_/name/dal/dallas-mavericks,38.5,u,13,,u,21,
Denver Nuggets,DEN,denver-nuggets,http://espn.go.com/nba/team/_/name/den/denver-nuggets,26.5,u,17,,o,23,
Detroit Pistons,DET,detroit-pistons,http://espn.go.com/nba/team/_/name/det/detroit-pistons,33.5,o,12,,o,19,
Golden State Warriors,GS,golden-state-warriors,http://espn.go.com/nba/team/_/name/gs/golden-state-warriors,60.5,u,20,,o,14,
Houston Rockets,HOU,houston-rockets,http://espn.go.com/nba/team/_/name/hou/houston-rockets,54.5,o,6,,o,7,
Indiana Pacers,IND,indiana-pacers,http://espn.go.com/nba/team/_/name/ind/indiana-pacers,42.5,o,28,,u,30,
Los Angeles Clippers,LAC,los-angeles-clippers,http://espn.go.com/nba/team/_/name/lac/los-angeles-clippers,56.5,u,25,,o,13,
Los Angeles Lakers,LAL,los-angeles-lakers,http://espn.go.com/nba/team/_/name/lal/los-angeles-lakers,29.5,u,7,,u,3,
Memphis Grizzlies,MEM,memphis-grizzlies,http://espn.go.com/nba/team/_/name/mem/memphis-grizzlies,50.5,u,26,,u,28,
Miami Heat,MIA,miami-heat,http://espn.go.com/nba/team/_/name/mia/miami-heat,45.5,o,14,,o,8,
Milwaukee Bucks,MIL,milwaukee-bucks,http://espn.go.com/nba/team/_/name/mil/milwaukee-bucks,56.5,o,30,,u,20,
Minnesota Timberwolves,MIN,minnesota-timberwolves,http://espn.go.com/nba/team/_/name/min/minnesota-timberwolves,25.5,u,11,,o,18,
New Orleans Pelicans,NO,new-orleans-pelicans,http://espn.go.com/nba/team/_/name/no/new-orleans-pelicans,47.5,u,4,,u,4,
New York Knicks,NY,new-york-knicks,http://espn.go.com/nba/team/_/name/ny/new-york-knicks,31.5,u,18,,u,5,
Oklahoma City Thunder,OKC,oklahoma-city-thunder,http://espn.go.com/nba/team/_/name/okc/oklahoma-city-thunder,57.5,o,21,,u,24,
Orlando Magic,ORL,orlando-magic,http://espn.go.com/nba/team/_/name/orl/orlando-magic,32.5,o,9,,o,1,
Philadelphia 76ers,PHI,philadelphia-76ers,http://espn.go.com/nba/team/_/name/phi/philadelphia-76ers,21.5,u,23,,u,11,
Phoenix Suns,PHX,phoenix-suns,http://espn.go.com/nba/team/_/name/phx/phoenix-suns,36.5,u,19,,u,22,
Portland Trail Blazers,POR,portland-trail-blazers,http://espn.go.com/nba/team/_/name/por/portland-trail-blazers,26.5,o,24,,o,27,
Sacramento Kings,SAC,sacramento-kings,http://espn.go.com/nba/team/_/name/sac/sacramento-kings,30.5,o,29,,u,25,
San Antonio Spurs,SA,san-antonio-spurs,http://espn.go.com/nba/team/_/name/sa/san-antonio-spurs,58.5,u,3,,u,15,
Toronto Raptors,TOR,toronto-raptors,http://espn.go.com/nba/team/_/name/tor/toronto-raptors,45.5,u,27,,o,16,
Utah Jazz,UTAH,utah-jazz,http://espn.go.com/nba/team/_/name/utah/utah-jazz,40.5,o,10,,o,29,
Washington Wizards,WSH,washington-wizards,http://espn.go.com/nba/team/_/name/wsh/washington-wizards,45.5,o,5,,o,12,
