game_id,season_yr,game_date,team_schedule,win_flag,wins_to_date,losses_to_date,home_flag,home_team,home_score,away_team,away_score,model1_game_pick,model1_game_pick_correct_flag,model1_game_win_flag,model1_game_loss_flag,model2_game_pick,model2_game_pick_correct_flag,model2_game_win_flag,model2_game_loss_flag,model3_game_pick,model3_game_pick_correct_flag,model3_game_win_flag,model3_game_loss_flag,model4_game_pick,model4_game_pick_correct_flag,model4_game_win_flag,model4_game_loss_flag,model3_this_t_mu,model3_this_t_sigma,model3_this_t_wt_pick,model3_other_t_mu,model3_other_t_sigma,model3_other_t_wt_pick,model4_this_t_mu,model4_this_t_sigma,model4_this_t_wt_pick,model4_other_t_mu,model4_other_t_sigma,model4_other_t_wt_pick
400489155,2014,12/06/2013,ATL,1,11,10,1,ATL,108,CLE,89,CLE,0,0,1,ATL,1,1,0,CLE,0,0,1,CLE,0,0,1,43.0,28.0,23.0030004023,57.0,9.0,57.5773276678,43.0,28.0,53.1625432023,57.0,9.0,65.6617895565
400489186,2014,12/10/2013,ATL,0,11,11,1,ATL,92,OKC,101,OKC,1,0,1,OKC,1,0,1,ATL,0,1,0,ATL,0,1,0,43.0,28.0,104.714755796,56.0,30.0,67.1086173834,43.0,28.0,64.1425349215,56.0,30.0,32.8495023534
400489205,2014,12/13/2013,ATL,1,12,11,1,ATL,101,WSH,99,WSH,0,0,1,ATL,1,1,0,WSH,0,0,1,ATL,1,1,0,43.0,28.0,8.66126584305,48.0,14.0,46.681270257,43.0,28.0,60.5336489015,48.0,14.0,51.1516946344
400489218,2014,12/14/2013,ATL,0,12,12,0,NY,111,ATL,106,NY,1,0,1,ATL,0,1,0,ATL,0,1,0,ATL,0,1,0,39.0,28.0,42.749196882,43.0,9.0,38.2754362348,39.0,28.0,47.187238819,43.0,9.0,30.0812859775
400489230,2014,12/16/2013,ATL,1,13,12,1,ATL,114,LAL,100,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,43.0,28.0,64.5897393523,30.0,29.0,4.25760557282,43.0,28.0,75.6391447241,30.0,29.0,4.98841701764
400489245,2014,12/18/2013,ATL,1,14,12,1,ATL,124,SAC,107,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,43.0,28.0,92.5153595779,29.0,20.0,49.8650173331,43.0,28.0,38.9422757943,29.0,20.0,3.28989369966
400489257,2014,12/20/2013,ATL,1,15,12,1,ATL,118,UTAH,85,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,43.0,28.0,26.135470375,24.0,13.0,12.1040173446,43.0,28.0,45.8455650823,24.0,13.0,-2.28457901259
400489284,2014,12/23/2013,ATL,0,15,13,0,MIA,121,ATL,119,MIA,1,0,1,MIA,1,0,1,MIA,1,0,1,ATL,0,1,0,39.0,28.0,12.7610613132,46.0,19.0,46.8095081478,39.0,28.0,56.4050463369,46.0,19.0,54.5313155084
400489296,2014,12/26/2013,ATL,1,16,13,0,CLE,125,ATL,127,CLE,0,0,1,ATL,1,1,0,CLE,0,0,1,CLE,0,0,1,39.0,28.0,52.1155221865,61.0,9.0,56.7945417059,39.0,28.0,58.1805107776,61.0,9.0,71.212474412
400489313,2014,12/28/2013,ATL,1,17,13,1,ATL,118,CHA,116,CHA,0,0,1,ATL,1,1,0,CHA,0,0,1,ATL,1,1,0,43.0,28.0,15.6023293054,44.0,17.0,47.3011000173,43.0,28.0,110.843671704,44.0,17.0,20.3073087334
400489322,2014,12/29/2013,ATL,0,17,14,0,ORL,109,ATL,102,ATL,0,1,0,ATL,0,1,0,ATL,0,1,0,ATL,0,1,0,39.0,28.0,31.774646179,31.0,15.0,26.8943005617,39.0,28.0,65.3044194668,31.0,15.0,41.8937390605
400489333,2014,12/31/2013,ATL,1,18,14,0,BOS,91,ATL,92,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,39.0,28.0,45.3072095202,29.0,27.0,5.68027912112,39.0,28.0,36.1988959935,29.0,27.0,30.9377143874
400489356,2014,01/03/2014,ATL,0,18,15,1,ATL,100,GS,101,GS,1,0,1,GS,1,0,1,GS,1,0,1,ATL,0,1,0,43.0,28.0,30.4338342702,49.0,23.0,62.5734818718,43.0,28.0,70.8232109411,49.0,23.0,52.6132615265
