game_id,season_yr,game_date,team_schedule,win_flag,wins_to_date,losses_to_date,home_flag,home_team,home_score,away_team,away_score
400578300,2015,10/29/2014,ATL,0,0,1,0,TOR,109,ATL,102
400578324,2015,11/01/2014,ATL,1,1,1,1,ATL,102,IND,92
400578356,2015,11/05/2014,ATL,0,1,2,0,SA,94,ATL,92
400578363,2015,11/07/2014,ATL,0,1,3,0,CHA,122,ATL,119
400578376,2015,11/08/2014,ATL,1,2,3,1,ATL,103,NY,96
400578392,2015,11/10/2014,ATL,1,3,3,0,NY,85,ATL,91
400578402,2015,11/12/2014,ATL,1,4,3,1,ATL,100,UTAH,97
400578416,2015,11/14/2014,ATL,1,5,3,1,ATL,114,MIA,103
400578425,2015,11/15/2014,ATL,0,5,4,0,CLE,127,ATL,94
400578447,2015,11/18/2014,ATL,0,5,5,1,ATL,109,LAL,114
400578466,2015,11/21/2014,ATL,1,6,5,1,ATL,99,DET,89
400578497,2015,11/25/2014,ATL,1,7,5,0,WSH,102,ATL,106
400578507,2015,11/26/2014,ATL,0,7,6,1,ATL,115,TOR,126
400578517,2015,11/28/2014,ATL,1,8,6,1,ATL,100,NO,91
400578529,2015,11/29/2014,ATL,1,9,6,1,ATL,105,CHA,75
400578546,2015,12/02/2014,ATL,1,10,6,1,ATL,109,BOS,105
400578559,2015,12/03/2014,ATL,1,11,6,0,MIA,102,ATL,112
400578572,2015,12/05/2014,ATL,1,12,6,0,BKN,75,ATL,98
400578587,2015,12/07/2014,ATL,1,13,6,1,ATL,96,DEN,84
400578593,2015,12/08/2014,ATL,1,14,6,0,IND,92,ATL,108
400578611,2015,12/10/2014,ATL,1,15,6,1,ATL,95,PHI,79
400578622,2015,12/12/2014,ATL,1,16,6,1,ATL,87,ORL,81
400578635,2015,12/13/2014,ATL,0,16,7,0,ORL,100,ATL,99
400578650,2015,12/15/2014,ATL,1,17,7,1,ATL,93,CHI,86
400578662,2015,12/17/2014,ATL,1,18,7,0,CLE,98,ATL,127
400578688,2015,12/20/2014,ATL,1,19,7,0,HOU,97,ATL,104
400578705,2015,12/22/2014,ATL,1,20,7,0,DAL,102,ATL,105
400578712,2015,12/23/2014,ATL,1,21,7,1,ATL,107,LAC,104
400578726,2015,12/26/2014,ATL,0,21,8,1,ATL,77,MIL,107
400578741,2015,12/27/2014,ATL,1,22,8,0,MIL,85,ATL,90
400578758,2015,12/30/2014,ATL,1,23,8,1,ATL,109,CLE,101
400578784,2015,01/02/2015,ATL,1,24,8,0,UTAH,92,ATL,98
400578793,2015,01/03/2015,ATL,1,25,8,0,POR,107,ATL,115
400578811,2015,01/05/2015,ATL,1,26,8,0,LAC,98,ATL,107
400578818,2015,01/07/2015,ATL,1,27,8,1,ATL,96,MEM,86
400578832,2015,01/09/2015,ATL,1,28,8,0,DET,103,ATL,106
400578850,2015,01/11/2015,ATL,1,29,8,1,ATL,120,WSH,89
400578860,2015,01/13/2015,ATL,1,30,8,0,PHI,87,ATL,105
400578872,2015,01/14/2015,ATL,1,31,8,0,BOS,91,ATL,105
400578884,2015,01/16/2015,ATL,1,32,8,0,TOR,89,ATL,110
400578894,2015,01/17/2015,ATL,1,33,8,0,CHI,99,ATL,107
400578905,2015,01/19/2015,ATL,1,34,8,1,ATL,93,DET,82
400578920,2015,01/21/2015,ATL,1,35,8,1,ATL,110,IND,91
400578934,2015,01/23/2015,ATL,1,36,8,1,ATL,103,OKC,93
400578953,2015,01/25/2015,ATL,1,37,8,1,ATL,112,MIN,100
400578975,2015,01/28/2015,ATL,1,38,8,1,ATL,113,BKN,102
400578989,2015,01/30/2015,ATL,1,39,8,1,ATL,105,POR,99
400579000,2015,01/31/2015,ATL,1,40,8,1,ATL,91,PHI,85
400579014,2015,02/02/2015,ATL,0,40,9,0,NO,115,ATL,100
400579024,2015,02/04/2015,ATL,1,41,9,1,ATL,105,WSH,96
400579041,2015,02/06/2015,ATL,1,42,9,1,ATL,124,GS,116
400579059,2015,02/08/2015,ATL,0,42,10,0,MEM,94,ATL,88
400579071,2015,02/09/2015,ATL,1,43,10,0,MIN,105,ATL,117
400579081,2015,02/11/2015,ATL,0,43,11,0,BOS,89,ATL,88
400579097,2015,02/20/2015,ATL,0,43,12,1,ATL,80,TOR,105
400579114,2015,02/22/2015,ATL,1,44,12,0,MIL,86,ATL,97
400579135,2015,02/25/2015,ATL,1,45,12,1,ATL,104,DAL,87
400579150,2015,02/27/2015,ATL,1,46,12,1,ATL,95,ORL,88
400579163,2015,02/28/2015,ATL,1,47,12,0,MIA,91,ATL,93
400579184,2015,03/03/2015,ATL,1,48,12,1,ATL,104,HOU,96
400579207,2015,03/06/2015,ATL,1,49,12,1,ATL,106,CLE,97
400579219,2015,03/07/2015,ATL,0,49,13,0,PHI,92,ATL,84
400579231,2015,03/09/2015,ATL,1,50,13,1,ATL,130,SAC,105
400579250,2015,03/11/2015,ATL,0,50,14,0,DEN,115,ATL,102
400579266,2015,03/13/2015,ATL,1,51,14,0,PHX,87,ATL,96
400579281,2015,03/15/2015,ATL,1,52,14,0,LAL,86,ATL,91
400579290,2015,03/16/2015,ATL,1,53,14,0,SAC,103,ATL,110
400579306,2015,03/18/2015,ATL,0,53,15,0,GS,114,ATL,95
400579318,2015,03/20/2015,ATL,0,53,16,0,OKC,123,ATL,115
400579331,2015,03/22/2015,ATL,0,53,17,1,ATL,95,SA,114
400579354,2015,03/25/2015,ATL,1,54,17,0,ORL,83,ATL,95
400579369,2015,03/27/2015,ATL,1,55,17,1,ATL,99,MIA,86
400579379,2015,03/28/2015,ATL,0,55,18,0,CHA,115,ATL,100
400579395,2015,03/30/2015,ATL,1,56,18,1,ATL,101,MIL,88
400579401,2015,03/31/2015,ATL,0,56,19,0,DET,105,ATL,95
400579430,2015,04/04/2015,ATL,1,57,19,1,ATL,131,BKN,99
400579446,2015,04/07/2015,ATL,1,58,19,1,ATL,96,PHX,69
400579455,2015,04/08/2015,ATL,1,59,19,0,BKN,111,ATL,114
400579468,2015,04/10/2015,ATL,1,60,19,1,ATL,104,CHA,80
400579490,2015,04/12/2015,ATL,0,60,20,0,WSH,108,ATL,99
400579497,2015,04/13/2015,ATL,0,60,21,1,ATL,108,NY,112
400579509,2015,04/15/2015,ATL,0,60,22,0,CHI,91,ATL,85
400578298,2015,10/29/2014,BOS,1,1,0,1,BOS,121,BKN,105
400578326,2015,11/01/2014,BOS,0,1,1,0,HOU,104,BOS,90
400578338,2015,11/03/2014,BOS,0,1,2,0,DAL,118,BOS,113
400578351,2015,11/05/2014,BOS,0,1,3,1,BOS,107,TOR,110
400578366,2015,11/07/2014,BOS,1,2,3,1,BOS,101,IND,98
400578378,2015,11/08/2014,BOS,1,3,3,0,CHI,101,BOS,106
400578403,2015,11/12/2014,BOS,0,3,4,1,BOS,94,OKC,109
400578417,2015,11/14/2014,BOS,0,3,5,1,BOS,121,CLE,122
400578440,2015,11/17/2014,BOS,0,3,6,1,BOS,114,PHX,118
400578454,2015,11/19/2014,BOS,1,4,6,0,PHI,90,BOS,101
400578468,2015,11/21/2014,BOS,0,4,7,0,MEM,117,BOS,100
400578486,2015,11/23/2014,BOS,0,4,8,1,BOS,88,POR,94
400578515,2015,11/28/2014,BOS,0,4,9,1,BOS,102,CHI,109
400578533,2015,11/30/2014,BOS,0,4,10,1,BOS,89,SA,111
400578546,2015,12/02/2014,BOS,0,4,11,0,ATL,109,BOS,105
400578557,2015,12/03/2014,BOS,1,5,11,1,BOS,109,DET,102
400578571,2015,12/05/2014,BOS,1,6,11,1,BOS,113,LAL,96
400578586,2015,12/07/2014,BOS,1,7,11,1,BOS,101,WSH,93
400578594,2015,12/08/2014,BOS,0,7,12,0,WSH,133,BOS,132
400578608,2015,12/10/2014,BOS,0,7,13,0,CHA,96,BOS,87
400578623,2015,12/12/2014,BOS,0,7,14,1,BOS,95,NY,101
400578649,2015,12/15/2014,BOS,1,8,14,0,PHI,87,BOS,105
400578663,2015,12/17/2014,BOS,1,9,14,1,BOS,109,ORL,92
400578677,2015,12/19/2014,BOS,1,10,14,1,BOS,114,MIN,98
400578696,2015,12/21/2014,BOS,0,10,15,0,MIA,100,BOS,84
400578710,2015,12/23/2014,BOS,0,10,16,0,ORL,100,BOS,95
400578724,2015,12/26/2014,BOS,0,10,17,1,BOS,107,BKN,109
400578737,2015,12/27/2014,BOS,0,10,18,0,WSH,101,BOS,88
400578767,2015,12/31/2014,BOS,1,11,18,1,BOS,106,SAC,84
400578778,2015,01/02/2015,BOS,0,11,19,1,BOS,101,DAL,119
