game_id,season_yr,game_date,team_schedule,win_flag,wins_to_date,losses_to_date,home_flag,home_team,home_score,away_team,away_score,model1_game_pick,model1_game_pick_correct_flag,model1_game_win_flag,model1_game_loss_flag,model2_game_pick,model2_game_pick_correct_flag,model2_game_win_flag,model2_game_loss_flag,model3_game_pick,model3_game_pick_correct_flag,model3_game_win_flag,model3_game_loss_flag,model4_game_pick,model4_game_pick_correct_flag,model4_game_win_flag,model4_game_loss_flag,model3_this_t_mu,model3_this_t_sigma,model3_this_t_wt_pick,model3_other_t_mu,model3_other_t_sigma,model3_other_t_wt_pick,model4_this_t_mu,model4_this_t_sigma,model4_this_t_wt_pick,model4_other_t_mu,model4_other_t_sigma,model4_other_t_wt_pick
400277738,2013,11/02/2012,ATL,0,0,1,1,ATL,102,HOU,109,HOU,1,0,1,HOU,1,0,1,HOU,1,0,1,HOU,1,0,1,42.0,16.0,46.3334596995,53.0,16.0,57.9007368446,42.0,16.0,25.588160304,53.0,16.0,54.9735772394
400277760,2013,11/04/2012,ATL,1,1,1,0,OKC,95,ATL,104,OKC,0,0,1,OKC,0,0,1,OKC,0,0,1,ATL,1,1,0,38.0,16.0,40.2735445115,53.0,16.0,54.571296475,38.0,16.0,34.2291188969,53.0,16.0,33.908701863
400277775,2013,11/07/2012,ATL,1,2,1,1,ATL,89,IND,86,IND,0,0,1,ATL,1,1,0,ATL,1,1,0,IND,0,0,1,42.0,16.0,55.6390373042,52.0,16.0,39.8291679876,42.0,16.0,28.5447493692,52.0,16.0,60.2994662842
400277792,2013,11/09/2012,ATL,0,2,2,1,ATL,89,MIA,95,MIA,1,0,1,MIA,1,0,1,ATL,0,1,0,MIA,1,0,1,42.0,16.0,43.0876571248,58.0,16.0,30.8267199005,42.0,16.0,38.9123431415,58.0,16.0,68.7487630447
400277811,2013,11/11/2012,ATL,0,2,3,0,LAC,89,ATL,76,LAC,1,0,1,LAC,1,0,1,LAC,1,0,1,LAC,1,0,1,38.0,16.0,33.7647771865,59.0,16.0,55.9419889592,38.0,16.0,32.7685411771,59.0,16.0,57.7078758241
400277822,2013,11/12/2012,ATL,1,3,3,0,POR,87,ATL,95,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,38.0,16.0,46.8457766473,41.0,16.0,37.15103515,38.0,16.0,33.1048019023,41.0,16.0,29.7111694548
400277838,2013,11/14/2012,ATL,0,3,4,0,GS,92,ATL,88,GS,1,0,1,GS,1,0,1,ATL,0,1,0,GS,1,0,1,38.0,16.0,66.1304480468,52.0,16.0,42.4748947606,38.0,16.0,48.6242041203,52.0,16.0,54.4986534345
400277848,2013,11/16/2012,ATL,1,4,4,0,SAC,96,ATL,112,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,SAC,0,0,1,38.0,16.0,67.3666388707,34.0,16.0,37.4727900802,38.0,16.0,22.4580710621,34.0,16.0,49.5120168544
400277869,2013,11/19/2012,ATL,1,5,4,1,ATL,81,ORL,72,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,42.0,16.0,35.8560321376,23.0,16.0,-1.40901543838,42.0,16.0,32.6030886348,23.0,16.0,24.847271345
400277882,2013,11/21/2012,ATL,1,6,4,1,ATL,101,WSH,100,WSH,0,0,1,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,42.0,16.0,39.7233001715,40.0,16.0,38.2707959052,42.0,16.0,25.143077079,40.0,16.0,-4.01479931621
400277891,2013,11/23/2012,ATL,1,7,4,0,CHA,91,ATL,101,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,CHA,0,0,1,38.0,16.0,56.9908812549,30.0,16.0,16.1456023413,38.0,16.0,16.1708686208,30.0,16.0,44.0230553608
400277905,2013,11/24/2012,ATL,1,8,4,1,ATL,104,LAC,93,LAC,0,0,1,ATL,1,1,0,LAC,0,0,1,LAC,0,0,1,42.0,16.0,47.6505099304,55.0,16.0,51.3569090629,42.0,16.0,20.6654292488,55.0,16.0,31.0007636944
400277932,2013,11/28/2012,ATL,1,9,4,1,ATL,94,CHA,91,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,42.0,16.0,47.1875188854,26.0,16.0,40.561693514,42.0,16.0,34.4729262198,26.0,16.0,9.50884492399
400277947,2013,11/30/2012,ATL,0,9,5,1,ATL,111,CLE,113,CLE,1,0,1,ATL,0,1,0,ATL,0,1,0,ATL,0,1,0,42.0,16.0,48.3271705827,39.0,16.0,34.5008312415,42.0,16.0,66.1918787023,39.0,16.0,21.5003595314
400277980,2013,12/05/2012,ATL,1,10,5,1,ATL,108,DEN,104,DEN,0,0,1,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,42.0,16.0,59.3635272222,45.0,16.0,31.2802352821,42.0,16.0,45.9678735488,45.0,16.0,43.9686232843
400277993,2013,12/07/2012,ATL,1,11,5,1,ATL,104,WSH,95,WSH,0,0,1,ATL,1,1,0,ATL,1,1,0,WSH,0,0,1,42.0,16.0,33.8689302644,40.0,16.0,33.3905865526,42.0,16.0,12.9506185604,40.0,16.0,72.5985138227
400278009,2013,12/08/2012,ATL,1,12,5,0,MEM,83,ATL,93,MEM,0,0,1,MEM,0,0,1,MEM,0,0,1,MEM,0,0,1,38.0,16.0,21.3707070311,51.0,16.0,67.4138602684,38.0,16.0,31.0617800512,51.0,16.0,59.153636916
400278020,2013,12/10/2012,ATL,0,12,6,0,MIA,101,ATL,92,MIA,1,0,1,MIA,1,0,1,ATL,0,1,0,MIA,1,0,1,38.0,16.0,51.5319961556,62.0,16.0,47.5379147409,38.0,16.0,4.85892825536,62.0,16.0,31.9656768402
400278030,2013,12/12/2012,ATL,1,13,6,0,ORL,80,ATL,86,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,38.0,16.0,44.2776780501,27.0,16.0,-1.25672112521,38.0,16.0,57.3657102116,27.0,16.0,52.203901463
400278042,2013,12/13/2012,ATL,1,14,6,1,ATL,113,CHA,90,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,CHA,0,0,1,42.0,16.0,51.7324452264,26.0,16.0,15.9178109478,42.0,16.0,38.2595303654,26.0,16.0,57.749933788
400278057,2013,12/15/2012,ATL,0,14,7,1,ATL,93,GS,115,GS,1,0,1,GS,1,0,1,GS,1,0,1,GS,1,0,1,42.0,16.0,43.6775308492,48.0,16.0,60.8564420781,42.0,16.0,38.3854430944,48.0,16.0,43.0334595767
400278076,2013,12/18/2012,ATL,1,15,7,0,WSH,95,ATL,100,WSH,0,0,1,ATL,1,1,0,WSH,0,0,1,WSH,0,0,1,38.0,16.0,34.741259687,44.0,16.0,36.8019432675,38.0,16.0,11.7702987514,44.0,16.0,32.3892721194
400278091,2013,12/19/2012,ATL,0,15,8,1,ATL,92,OKC,100,OKC,1,0,1,OKC,1,0,1,ATL,0,1,0,OKC,1,0,1,42.0,16.0,85.8086807342,49.0,16.0,41.4882423992,42.0,16.0,9.01586897293,49.0,16.0,55.0347577661
400278101,2013,12/21/2012,ATL,0,15,9,0,PHI,99,ATL,80,ATL,0,1,0,ATL,0,1,0,ATL,0,1,0,ATL,0,1,0,38.0,16.0,51.6599533244,19.0,16.0,30.8593382799,38.0,16.0,51.7180247534,19.0,16.0,28.7277778623
400278111,2013,12/22/2012,ATL,1,16,9,1,ATL,92,CHI,75,CHI,0,0,1,ATL,1,1,0,CHI,0,0,1,CHI,0,0,1,42.0,16.0,40.3372091444,55.0,16.0,51.234776143,42.0,16.0,24.8339374246,55.0,16.0,44.3170061699
400278134,2013,12/26/2012,ATL,1,17,9,1,ATL,126,DET,119,DET,0,0,1,ATL,1,1,0,DET,0,0,1,ATL,1,1,0,42.0,16.0,34.1047037175,39.0,16.0,54.0466472716,42.0,16.0,47.0037210089,39.0,16.0,20.4956025901
400278149,2013,12/28/2012,ATL,1,18,9,0,CLE,94,ATL,102,CLE,0,0,1,ATL,1,1,0,CLE,0,0,1,ATL,1,1,0,38.0,16.0,38.1916220768,43.0,16.0,63.935495811,38.0,16.0,60.1959633869,43.0,16.0,46.6909708825
400278158,2013,12/29/2012,ATL,1,19,9,1,ATL,109,IND,100,IND,0,0,1,ATL,1,1,0,ATL,1,1,0,IND,0,0,1,42.0,16.0,58.625721827,52.0,16.0,42.0918302611,42.0,16.0,39.3814354333,52.0,16.0,53.5456140043
400278175,2013,12/31/2012,ATL,0,19,10,0,HOU,123,ATL,104,HOU,1,0,1,ATL,0,1,0,HOU,1,0,1,HOU,1,0,1,38.0,16.0,60.8800331482,57.0,16.0,67.2878103802,38.0,16.0,27.0517157482,57.0,16.0,77.4848287422
400278181,2013,01/01/2013,ATL,1,20,10,0,NO,86,ATL,95,NO,0,0,1,ATL,1,1,0,NO,0,0,1,NO,0,0,1,38.0,16.0,25.0385138796,42.0,16.0,26.8698060217,38.0,16.0,37.2233472183,42.0,16.0,44.3447544474
