game_id,season_yr,game_date,team_schedule,win_flag,wins_to_date,losses_to_date,home_flag,home_team,home_score,away_team,away_score,model1_game_pick,model1_game_pick_correct_flag,model1_game_win_flag,model1_game_loss_flag,model2_game_pick,model2_game_pick_correct_flag,model2_game_win_flag,model2_game_loss_flag,model3_game_pick,model3_game_pick_correct_flag,model3_game_win_flag,model3_game_loss_flag,model4_game_pick,model4_game_pick_correct_flag,model4_game_win_flag,model4_game_loss_flag,model3_this_t_mu,model3_this_t_sigma,model3_this_t_wt_pick,model3_other_t_mu,model3_other_t_sigma,model3_other_t_wt_pick,model4_this_t_mu,model4_this_t_sigma,model4_this_t_wt_pick,model4_other_t_mu,model4_other_t_sigma,model4_other_t_wt_pick
311227017,2012,12/27/2011,ATL,1,1,0,0,BKN,70,ATL,106,BKN,0,0,1,BKN,0,0,1,BKN,0,0,1,ATL,1,1,0,42.0,16.0,31.381277816,46.0,16.0,58.5941195821,42.0,16.0,44.6065411309,46.0,16.0,30.2702951758
311228001,2012,12/28/2011,ATL,1,2,0,1,ATL,101,WSH,83,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,46.0,16.0,69.7757214373,30.0,16.0,56.5461468107,46.0,16.0,60.6415226818,30.0,16.0,18.066587304
311230001,2012,12/30/2011,ATL,1,3,0,1,ATL,105,BKN,98,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,46.0,16.0,55.9056780297,42.0,16.0,48.2315916474,46.0,16.0,41.2311659843,42.0,16.0,23.196498227
311231010,2012,12/31/2011,ATL,0,3,1,0,HOU,95,ATL,84,ATL,0,1,0,ATL,0,1,0,ATL,0,1,0,HOU,1,0,1,42.0,16.0,52.5171552977,33.0,16.0,21.3405984991,42.0,16.0,20.2290168735,33.0,16.0,46.5557939786
320102014,2012,01/02/2012,ATL,1,4,1,0,MIA,92,ATL,100,MIA,0,0,1,MIA,0,0,1,MIA,0,0,1,MIA,0,0,1,42.0,16.0,57.2625429854,63.0,16.0,88.0652322842,42.0,16.0,28.9592677688,63.0,16.0,54.3603846165
320103004,2012,01/03/2012,ATL,0,4,2,0,CHI,76,ATL,74,CHI,1,0,1,CHI,1,0,1,CHI,1,0,1,CHI,1,0,1,42.0,16.0,51.2024452532,50.0,16.0,54.8567305378,42.0,16.0,46.2301469264,50.0,16.0,65.6296468695
320105001,2012,01/05/2012,ATL,0,4,3,1,ATL,109,MIA,116,MIA,1,0,1,MIA,1,0,1,MIA,1,0,1,MIA,1,0,1,46.0,16.0,49.3621140443,59.0,16.0,50.7610461468,46.0,16.0,36.7918956425,59.0,16.0,96.4981902046
320106030,2012,01/06/2012,ATL,1,5,3,0,CHA,96,ATL,102,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,42.0,16.0,32.8974826709,24.0,16.0,15.9668322993,42.0,16.0,53.902624693,24.0,16.0,35.1661760346
320107001,2012,01/07/2012,ATL,1,6,3,1,ATL,109,CHI,94,CHI,0,0,1,CHI,0,0,1,CHI,0,0,1,ATL,1,1,0,46.0,16.0,67.7631718985,46.0,16.0,69.4421550001,46.0,16.0,47.9948983969,46.0,16.0,44.7411047404
320109017,2012,01/09/2012,ATL,1,7,3,0,BKN,101,ATL,106,BKN,0,0,1,ATL,1,1,0,ATL,1,1,0,BKN,0,0,1,42.0,16.0,53.7702799542,46.0,16.0,50.4852435993,42.0,16.0,16.5803551266,46.0,16.0,32.3384293908
320111011,2012,01/11/2012,ATL,0,7,4,0,IND,96,ATL,84,IND,1,0,1,IND,1,0,1,IND,1,0,1,IND,1,0,1,42.0,16.0,19.3532369282,54.0,16.0,65.7540355527,42.0,16.0,30.0278043395,54.0,16.0,89.3652518743
320112001,2012,01/12/2012,ATL,1,8,4,1,ATL,111,CHA,81,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,46.0,16.0,39.4761247455,20.0,16.0,9.47643044803,46.0,16.0,50.2560894961,20.0,16.0,28.7138879035
320114001,2012,01/14/2012,ATL,1,9,4,1,ATL,93,MIN,91,ATL,1,1,0,ATL,1,1,0,MIN,0,0,1,MIN,0,0,1,46.0,16.0,24.0556639298,38.0,16.0,31.8443732217,46.0,16.0,45.0483293044,38.0,16.0,59.2054186003
320116001,2012,01/16/2012,ATL,1,10,4,1,ATL,93,TOR,84,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,46.0,16.0,45.793894426,30.0,16.0,19.4475057906,46.0,16.0,42.594194981,30.0,16.0,35.9036686907
320118001,2012,01/18/2012,ATL,1,11,4,1,ATL,92,POR,89,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,46.0,16.0,57.6223693391,34.0,16.0,42.1078506602,46.0,16.0,46.3580048221,34.0,16.0,31.0102502997
320120020,2012,01/20/2012,ATL,0,11,5,0,PHI,90,ATL,76,PHI,1,0,1,PHI,1,0,1,PHI,1,0,1,ATL,0,1,0,42.0,16.0,56.6242696154,50.0,16.0,71.2352732551,42.0,16.0,60.3498488659,50.0,16.0,39.2928693423
320121001,2012,01/21/2012,ATL,1,12,5,1,ATL,121,CLE,94,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,46.0,16.0,30.5008160709,31.0,16.0,19.8248865146,46.0,16.0,50.4530887142,31.0,16.0,29.4629378196
320123015,2012,01/23/2012,ATL,1,13,5,0,MIL,92,ATL,97,ATL,1,1,0,ATL,1,1,0,MIL,0,0,1,MIL,0,0,1,42.0,16.0,45.3443719877,39.0,16.0,68.0845269645,42.0,16.0,14.3030087943,39.0,16.0,25.9514107191
320125024,2012,01/25/2012,ATL,0,13,6,0,SA,105,ATL,83,SA,1,0,1,ATL,0,1,0,ATL,0,1,0,SA,1,0,1,42.0,16.0,65.2124804453,58.0,16.0,32.1820347495,42.0,16.0,41.7717299433,58.0,16.0,50.6275119801
320127008,2012,01/27/2012,ATL,1,14,6,0,DET,101,ATL,107,ATL,1,1,0,ATL,1,1,0,DET,0,0,1,ATL,1,1,0,42.0,16.0,25.4005902064,35.0,16.0,39.8968104229,42.0,16.0,29.4380143505,35.0,16.0,21.9075274494
320129003,2012,01/29/2012,ATL,1,15,6,0,NO,72,ATL,94,ATL,1,1,0,ATL,1,1,0,NO,0,0,1,ATL,1,1,0,42.0,16.0,40.4496045397,28.0,16.0,51.3942899377,42.0,16.0,30.8524070507,28.0,16.0,20.7997054256
320131028,2012,01/31/2012,ATL,1,16,6,0,TOR,77,ATL,100,ATL,1,1,0,ATL,1,1,0,TOR,0,0,1,ATL,1,1,0,42.0,16.0,31.2256631564,34.0,16.0,45.7254711864,42.0,16.0,39.6021225783,34.0,16.0,31.6440781667
320202001,2012,02/02/2012,ATL,0,16,7,1,ATL,77,MEM,96,MEM,1,0,1,ATL,0,1,0,MEM,1,0,1,ATL,0,1,0,46.0,16.0,38.755645285,47.0,16.0,53.6814803782,46.0,16.0,77.3044139513,47.0,16.0,50.4424820976
320204001,2012,02/04/2012,ATL,0,16,8,1,ATL,87,PHI,98,PHI,1,0,1,PHI,1,0,1,ATL,0,1,0,ATL,0,1,0,46.0,16.0,51.1561929988,46.0,16.0,46.311149466,46.0,16.0,73.0683790439,46.0,16.0,49.1605580621
320206001,2012,02/06/2012,ATL,0,16,9,1,ATL,90,PHX,99,ATL,0,1,0,ATL,0,1,0,ATL,0,1,0,ATL,0,1,0,46.0,16.0,39.7786847703,33.0,16.0,11.3702970336,46.0,16.0,49.9521166458,33.0,16.0,26.167309439
320208001,2012,02/08/2012,ATL,1,17,9,1,ATL,97,IND,87,IND,0,0,1,ATL,1,1,0,IND,0,0,1,ATL,1,1,0,46.0,16.0,31.3511330517,50.0,16.0,44.8070233912,46.0,16.0,42.0592110651,50.0,16.0,41.4191555785
320210019,2012,02/10/2012,ATL,1,18,9,0,ORL,87,ATL,89,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,42.0,16.0,47.9304582351,27.0,16.0,1.03631360563,42.0,16.0,60.0315447823,27.0,16.0,40.2999658932
