team_abbrv,sum_win,sum_loss,model1_sum_win,model1_sum_loss,model1_sum_error,model1_wt_pick_correct_flag,model2_sum_win,model2_sum_loss,model2_sum_error,model2_wt_pick_correct_flag,model3_sum_win,model3_sum_loss,model3_sum_error,model3_wt_pick_correct_flag,model3_this_t_mu_mean,model3_this_t_sigma_mean,model3_this_t_wt_pick_mean,model3_other_t_mu_mean,model3_other_t_sigma_mean,model3_other_t_wt_pick_mean,model4_sum_win,model4_sum_loss,model4_sum_error,model4_wt_pick_correct_flag,model4_this_t_mu_mean,model4_this_t_sigma_mean,model4_this_t_wt_pick_mean,model4_other_t_mu_mean,model4_other_t_sigma_mean,model4_other_t_wt_pick_mean
PHI,34.0,48.0,0.0,82.0,34.0,0.0,37.0,45.0,3.0,1.0,12.0,70.0,22.0,0.0,17.0,16.0,15.565082305,42.256097561,16.0,43.7725867604,15.0,67.0,19.0,0.0,17.0,16.0,17.3819882544,42.256097561,16.0,40.6067808359
PHX,25.0,57.0,2.0,80.0,23.0,0.0,12.0,70.0,13.0,0.0,18.0,64.0,7.0,0.0,22.0,16.0,24.7030638564,42.8536585366,16.0,43.160250967,21.0,61.0,4.0,0.0,22.0,16.0,22.7813212025,42.8536585366,16.0,42.8357454327
POR,33.0,49.0,27.0,55.0,6.0,1.0,32.0,50.0,1.0,1.0,42.0,40.0,9.0,0.0,39.0,16.0,38.5124472509,42.1951219512,16.0,41.5091180061,39.0,43.0,6.0,0.0,39.0,16.0,39.1992654043,42.1951219512,16.0,43.0995866518
SAC,28.0,54.0,18.0,64.0,10.0,1.0,16.0,66.0,12.0,1.0,25.0,57.0,3.0,1.0,32.0,16.0,31.8626276885,42.3048780488,16.0,44.7587183536,28.0,54.0,0.0,1.0,32.0,16.0,32.7968596148,42.3048780488,16.0,40.9651676612
SA,58.0,24.0,74.0,8.0,16.0,1.0,80.0,2.0,22.0,1.0,59.0,23.0,1.0,1.0,56.0,16.0,56.9710630213,41.9146341463,16.0,40.6796893793,56.0,26.0,2.0,1.0,56.0,16.0,55.8081762584,41.9146341463,16.0,41.0340064895
TOR,34.0,48.0,27.0,55.0,7.0,1.0,20.0,62.0,14.0,1.0,33.0,49.0,1.0,1.0,37.0,16.0,33.7278431448,41.0243902439,16.0,42.0667889556,39.0,43.0,5.0,0.0,37.0,16.0,36.8111429956,41.0243902439,16.0,38.5586632663
UTAH,43.0,39.0,10.0,72.0,33.0,0.0,45.0,37.0,2.0,1.0,22.0,60.0,21.0,0.0,28.0,16.0,28.004412511,42.5365853659,16.0,44.0654071813,18.0,64.0,25.0,0.0,28.0,16.0,28.0155280499,42.5365853659,16.0,45.8380931357
WSH,29.0,53.0,46.0,36.0,17.0,0.0,7.0,75.0,22.0,1.0,43.0,39.0,14.0,0.0,42.0,16.0,43.9715833481,41.6463414634,16.0,44.0055980649,42.0,40.0,13.0,0.5,42.0,16.0,41.1549497698,41.6463414634,16.0,40.570119502
,1229.0,1229.0,1229.0,1229.0,456.0,14.0,1229.0,1229.0,286.0,25.0,1216.0,1242.0,241.0,15.5,1247.0,480.0,1243.06269459,1247.00240891,480.0,1253.99845058,1280.0,1178.0,297.0,10.5,1247.0,480.0,1255.89707896,1247.00240891,480.0,1226.33880384
,40.9666666667,40.9666666667,40.9666666667,40.9666666667,15.2,0.466666666667,40.9666666667,40.9666666667,9.53333333333,0.833333333333,40.5333333333,41.4,8.03333333333,0.516666666667,41.5666666667,16.0,41.435423153,41.5667469638,16.0,41.7999483526,42.6666666667,39.2666666667,9.9,0.35,41.5666666667,16.0,41.8632359653,41.5667469638,16.0,40.8779601279
