team_abbrv,sum_win,sum_loss,model1_sum_win,model1_sum_loss,model1_sum_error,model1_wt_pick_correct_flag,model2_sum_win,model2_sum_loss,model2_sum_error,model2_wt_pick_correct_flag,model3_sum_win,model3_sum_loss,model3_sum_error,model3_wt_pick_correct_flag,model3_this_t_mu_mean,model3_this_t_sigma_mean,model3_this_t_wt_pick_mean,model3_other_t_mu_mean,model3_other_t_sigma_mean,model3_other_t_wt_pick_mean,model4_sum_win,model4_sum_loss,model4_sum_error,model4_wt_pick_correct_flag,model4_this_t_mu_mean,model4_this_t_sigma_mean,model4_this_t_wt_pick_mean,model4_other_t_mu_mean,model4_other_t_sigma_mean,model4_other_t_wt_pick_mean
ATL,44.0,38.0,34.0,48.0,10.0,0.0,55.0,27.0,11.0,1.0,43.0,39.0,1.0,1.0,40.0,16.0,41.9652613878,40.8902439024,16.0,39.5386310064,36.0,46.0,8.0,0.0,40.0,16.0,37.111513196,40.8902439024,16.0,40.3316154392
BOS,41.0,40.0,12.0,69.0,29.0,0.0,41.0,40.0,0.0,1.0,19.0,62.0,22.0,0.0,27.975308642,16.0,25.1340134303,41.6296296296,16.0,41.2702216502,28.0,53.0,13.0,1.0,27.975308642,16.0,28.2492922081,41.6296296296,16.0,39.5731261454
BKN,49.0,33.0,66.0,16.0,17.0,0.0,54.0,28.0,5.0,0.0,56.0,26.0,7.0,0.0,53.0,16.0,54.2014070581,40.2804878049,16.0,43.193935834,57.0,25.0,8.0,0.0,53.0,16.0,52.629168707,40.2804878049,16.0,38.528963544
CHA,21.0,61.0,13.0,69.0,8.0,1.0,6.0,76.0,15.0,1.0,23.0,59.0,2.0,1.0,28.0,16.0,26.7307498437,41.2804878049,16.0,39.1318096741,19.0,63.0,2.0,1.0,28.0,16.0,28.4957987693,41.2804878049,16.0,42.9155571702
CHI,45.0,37.0,76.0,6.0,31.0,0.0,51.0,31.0,6.0,1.0,61.0,21.0,16.0,0.0,57.0,16.0,56.5456348974,40.8292682927,16.0,38.699387525,61.0,21.0,16.0,0.0,57.0,16.0,57.8611940809,40.8292682927,16.0,40.2537045943
CLE,24.0,58.0,39.0,43.0,15.0,1.0,8.0,74.0,16.0,1.0,40.0,42.0,16.0,1.0,41.0,16.0,40.6583661859,40.987804878,16.0,43.0625605329,41.0,41.0,17.0,0.0,41.0,16.0,42.2128434257,40.987804878,16.0,41.4280834623
DAL,41.0,41.0,47.0,35.0,6.0,0.0,35.0,47.0,6.0,1.0,44.0,38.0,3.0,0.5,44.0,16.0,43.3434271312,41.7804878049,16.0,40.726954577,55.0,27.0,14.0,0.0,44.0,16.0,46.3405574433,41.7804878049,16.0,37.4541816228
DEN,57.0,25.0,49.0,33.0,8.0,1.0,56.0,26.0,1.0,1.0,48.0,34.0,9.0,1.0,47.0,16.0,47.0032873854,41.8658536585,16.0,41.0653278149,42.0,40.0,15.0,0.0,47.0,16.0,45.2433127128,41.8658536585,16.0,41.9152004847
DET,29.0,53.0,42.0,40.0,13.0,0.0,18.0,64.0,11.0,1.0,34.0,48.0,5.0,1.0,41.0,16.0,39.2689916461,41.3292682927,16.0,42.8376786226,47.0,35.0,18.0,0.0,41.0,16.0,43.1303103207,41.3292682927,16.0,40.8961563137
GS,47.0,35.0,57.0,25.0,10.0,0.0,57.0,25.0,10.0,0.0,46.0,36.0,1.0,1.0,50.0,16.0,48.4998354559,41.756097561,16.0,42.6374337293,61.0,21.0,14.0,0.0,50.0,16.0,52.5517387725,41.756097561,16.0,39.3565720043
HOU,45.0,37.0,71.0,11.0,26.0,0.0,44.0,38.0,1.0,1.0,55.0,27.0,10.0,0.0,55.0,16.0,53.5969267552,41.256097561,16.0,41.2192429038,63.0,19.0,18.0,0.0,55.0,16.0,56.0557686602,41.256097561,16.0,39.8271008848
IND,49.0,32.0,68.0,13.0,19.0,0.0,57.0,24.0,8.0,0.0,50.0,31.0,1.0,1.0,54.024691358,16.0,52.5217602794,40.5679012346,16.0,42.3061527705,59.0,22.0,10.0,0.0,54.024691358,16.0,52.3897031472,40.5679012346,16.0,41.8106807451
LAC,56.0,26.0,80.0,2.0,24.0,0.0,74.0,8.0,18.0,0.0,66.0,16.0,10.0,0.0,57.0,16.0,58.1359229168,40.9634146341,16.0,39.1727817955,61.0,21.0,5.0,0.0,57.0,16.0,57.8056162454,40.9634146341,16.0,41.6094206757
LAL,45.0,37.0,21.0,61.0,24.0,0.0,39.0,43.0,6.0,1.0,31.0,51.0,14.0,0.0,34.0,16.0,34.6971795096,42.3658536585,16.0,42.7155535344,35.0,47.0,10.0,1.0,34.0,16.0,35.0938301674,42.3658536585,16.0,42.2809442418
MEM,56.0,26.0,54.0,28.0,2.0,1.0,69.0,13.0,13.0,1.0,56.0,26.0,0.0,1.0,49.0,16.0,50.6481783332,41.6097560976,16.0,40.0532395719,57.0,25.0,1.0,1.0,49.0,16.0,49.3055933301,41.6097560976,16.0,38.9387124335
MIA,66.0,16.0,82.0,0.0,16.0,1.0,73.0,9.0,7.0,1.0,63.0,19.0,3.0,1.0,60.0,16.0,59.1705539303,39.9146341463,16.0,38.9093329103,60.0,22.0,6.0,0.5,60.0,16.0,59.7993943021,39.9146341463,16.0,39.7980558152
MIL,38.0,44.0,19.0,63.0,19.0,0.0,44.0,38.0,6.0,1.0,28.0,54.0,10.0,0.0,29.0,16.0,30.4685320419,41.8048780488,16.0,40.7396939882,19.0,63.0,19.0,0.0,29.0,16.0,27.0575875067,41.8048780488,16.0,42.7938095193
MIN,31.0,51.0,39.0,43.0,8.0,1.0,26.0,56.0,5.0,1.0,44.0,38.0,13.0,0.0,41.0,16.0,44.1237427031,42.0731707317,16.0,41.943386398,41.0,41.0,10.0,0.5,41.0,16.0,40.6734323446,42.0731707317,16.0,41.5130724048
NO,27.0,55.0,30.0,52.0,3.0,1.0,9.0,73.0,18.0,1.0,34.0,48.0,7.0,1.0,40.0,16.0,39.7116470664,42.487804878,16.0,42.7687989112,41.0,41.0,14.0,0.0,40.0,16.0,40.0766393627,42.487804878,16.0,41.488819785
NY,54.0,28.0,57.0,25.0,3.0,1.0,69.0,13.0,15.0,1.0,48.0,34.0,6.0,0.0,50.0,16.0,49.8047657427,40.9756097561,16.0,43.5294958099,57.0,25.0,3.0,1.0,50.0,16.0,49.5373681979,40.9756097561,16.0,40.5736111157
OKC,60.0,22.0,64.0,18.0,4.0,1.0,77.0,5.0,17.0,1.0,55.0,27.0,5.0,1.0,51.0,16.0,52.4423599293,41.3048780488,16.0,41.8152986471,60.0,22.0,0.0,1.0,51.0,16.0,53.5454222358,41.3048780488,16.0,39.1109743595
ORL,20.0,62.0,5.0,77.0,15.0,1.0,18.0,64.0,2.0,1.0,18.0,64.0,2.0,1.0,25.0,16.0,21.0720278331,42.3170731707,16.0,42.6433747015,22.0,60.0,2.0,1.0,25.0,16.0,26.7817622725,42.3170731707,16.0,40.4322781004
