game_id,season_yr,game_date,team_schedule,win_flag,wins_to_date,losses_to_date,home_flag,home_team,home_score,away_team,away_score,model1_game_pick,model1_game_pick_correct_flag,model1_game_win_flag,model1_game_loss_flag,model2_game_pick,model2_game_pick_correct_flag,model2_game_win_flag,model2_game_loss_flag,model3_game_pick,model3_game_pick_correct_flag,model3_game_win_flag,model3_game_loss_flag,model4_game_pick,model4_game_pick_correct_flag,model4_game_win_flag,model4_game_loss_flag,model3_this_t_mu,model3_this_t_sigma,model3_this_t_wt_pick,model3_other_t_mu,model3_other_t_sigma,model3_other_t_wt_pick,model4_this_t_mu,model4_this_t_sigma,model4_this_t_wt_pick,model4_other_t_mu,model4_other_t_sigma,model4_other_t_wt_pick
400578300,2015,10/29/2014,ATL,0,0,1,0,TOR,109,ATL,102,ATL,0,1,0,TOR,1,0,1,ATL,0,1,0,TOR,1,0,1,48.0,9.0,52.5163799785,48.0,4.0,44.2774807876,48.0,9.0,44.9304601855,48.0,4.0,46.985238123
400578324,2015,11/01/2014,ATL,1,1,1,1,ATL,102,IND,92,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,52.0,9.0,52.1323245631,41.0,3.0,40.6413552162,52.0,9.0,58.115756048,41.0,3.0,42.828142515
400578356,2015,11/05/2014,ATL,0,1,2,0,SA,94,ATL,92,SA,1,0,1,SA,1,0,1,SA,1,0,1,SA,1,0,1,48.0,9.0,36.3066292567,61.0,28.0,73.2576552176,48.0,9.0,48.1574182384,61.0,28.0,72.7680697391
400578363,2015,11/07/2014,ATL,0,1,3,0,CHA,122,ATL,119,ATL,0,1,0,CHA,1,0,1,ATL,0,1,0,ATL,0,1,0,48.0,9.0,58.1465589922,35.0,30.0,52.650945371,48.0,9.0,43.6145710828,35.0,30.0,8.47122327816
400578376,2015,11/08/2014,ATL,1,2,3,1,ATL,103,NY,96,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,52.0,9.0,65.0099565153,30.0,13.0,35.0953885629,52.0,9.0,41.9051748001,30.0,13.0,22.9894994231
400578392,2015,11/10/2014,ATL,1,3,3,0,NY,85,ATL,91,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,48.0,9.0,49.0165466477,34.0,13.0,44.540976177,48.0,9.0,43.0188374491,34.0,13.0,37.8097227819
400578402,2015,11/12/2014,ATL,1,4,3,1,ATL,100,UTAH,97,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,52.0,9.0,51.8335901894,39.0,21.0,46.4820262931,52.0,9.0,41.830943296,39.0,21.0,39.8346153408
400578416,2015,11/14/2014,ATL,1,5,3,1,ATL,114,MIA,103,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,52.0,9.0,47.6214118865,44.0,17.0,30.8997822509,52.0,9.0,58.7103513791,44.0,17.0,24.5597742945
400578425,2015,11/15/2014,ATL,0,5,4,0,CLE,127,ATL,94,CLE,1,0,1,CLE,1,0,1,CLE,1,0,1,CLE,1,0,1,48.0,9.0,47.7850418805,59.0,23.0,73.7285015036,48.0,9.0,46.8504443786,59.0,23.0,85.8142485121
400578447,2015,11/18/2014,ATL,0,5,5,1,ATL,109,LAL,114,ATL,0,1,0,ATL,0,1,0,ATL,0,1,0,ATL,0,1,0,52.0,9.0,61.004749732,28.0,24.0,30.4316089906,52.0,9.0,53.0767391584,28.0,24.0,-17.0474316874
