game_id,season_yr,game_date,team_schedule,win_flag,wins_to_date,losses_to_date,home_flag,home_team,home_score,away_team,away_score
400488885,2014,10/30/2013,ATL,0,0,1,0,DAL,118,ATL,109
400488896,2014,11/01/2013,ATL,1,1,1,1,ATL,102,TOR,95
400488919,2014,11/03/2013,ATL,0,1,2,0,LAL,105,ATL,103
400488932,2014,11/05/2013,ATL,1,2,2,0,SAC,100,ATL,105
400488944,2014,11/07/2013,ATL,0,2,3,0,DEN,109,ATL,107
400488959,2014,11/09/2013,ATL,1,3,3,1,ATL,104,ORL,94
400488971,2014,11/11/2013,ATL,1,4,3,0,CHA,94,ATL,103
400488989,2014,11/13/2013,ATL,0,4,4,1,ATL,91,NY,95
400489000,2014,11/15/2013,ATL,1,5,4,1,ATL,113,PHI,103
400489012,2014,11/16/2013,ATL,1,6,4,0,NY,90,ATL,110
400489031,2014,11/19/2013,ATL,0,6,5,0,MIA,104,ATL,88
400489039,2014,11/20/2013,ATL,1,7,5,1,ATL,93,DET,85
400489053,2014,11/22/2013,ATL,1,8,5,0,DET,89,ATL,96
400489063,2014,11/23/2013,ATL,0,8,6,1,ATL,87,BOS,94
400489086,2014,11/26/2013,ATL,0,8,7,1,ATL,92,ORL,109
400489094,2014,11/27/2013,ATL,0,8,8,0,HOU,113,ATL,84
400489104,2014,11/29/2013,ATL,1,9,8,1,ATL,88,DAL,87
400489114,2014,11/30/2013,ATL,0,9,9,0,WSH,108,ATL,101
400489131,2014,12/02/2013,ATL,0,9,10,0,SA,102,ATL,100
400489143,2014,12/04/2013,ATL,1,10,10,1,ATL,107,LAC,97
400489155,2014,12/06/2013,ATL,1,11,10,1,ATL,108,CLE,89
400489186,2014,12/10/2013,ATL,0,11,11,1,ATL,92,OKC,101
400489205,2014,12/13/2013,ATL,1,12,11,1,ATL,101,WSH,99
400489218,2014,12/14/2013,ATL,0,12,12,0,NY,111,ATL,106
400489230,2014,12/16/2013,ATL,1,13,12,1,ATL,114,LAL,100
400489245,2014,12/18/2013,ATL,1,14,12,1,ATL,124,SAC,107
400489257,2014,12/20/2013,ATL,1,15,12,1,ATL,118,UTAH,85
400489284,2014,12/23/2013,ATL,0,15,13,0,MIA,121,ATL,119
400489296,2014,12/26/2013,ATL,1,16,13,0,CLE,125,ATL,127
400489313,2014,12/28/2013,ATL,1,17,13,1,ATL,118,CHA,116
400489322,2014,12/29/2013,ATL,0,17,14,0,ORL,109,ATL,102
400489333,2014,12/31/2013,ATL,1,18,14,0,BOS,91,ATL,92
400489356,2014,01/03/2014,ATL,0,18,15,1,ATL,100,GS,101
400489365,2014,01/04/2014,ATL,0,18,16,0,CHI,91,ATL,84
400489379,2014,01/06/2014,ATL,0,18,17,0,BKN,91,ATL,86
400489395,2014,01/08/2014,ATL,1,19,17,1,ATL,97,IND,87
400489406,2014,01/10/2014,ATL,1,20,17,1,ATL,83,HOU,80
400489426,2014,01/12/2014,ATL,0,20,18,0,MEM,108,ATL,101
400489452,2014,01/16/2014,ATL,0,20,19,1,ATL,110,BKN,127
400489485,2014,01/20/2014,ATL,1,21,19,1,ATL,121,MIA,114
400489496,2014,01/22/2014,ATL,1,22,19,0,ORL,109,ATL,112
400489508,2014,01/24/2014,ATL,0,22,20,1,ATL,79,SA,105
400489523,2014,01/25/2014,ATL,1,23,20,0,MIL,87,ATL,112
400489539,2014,01/27/2014,ATL,0,23,21,0,OKC,111,ATL,109
400489563,2014,01/31/2014,ATL,1,24,21,0,PHI,99,ATL,125
400489572,2014,02/01/2014,ATL,1,25,21,1,ATL,120,MIN,113
400489594,2014,02/04/2014,ATL,0,25,22,1,ATL,85,IND,89
400489604,2014,02/05/2014,ATL,0,25,23,0,NO,105,ATL,100
400489623,2014,02/08/2014,ATL,0,25,24,1,ATL,76,MEM,79
400489645,2014,02/11/2014,ATL,0,25,25,0,CHI,100,ATL,85
400489652,2014,02/12/2014,ATL,0,25,26,0,TOR,104,ATL,83
400489665,2014,02/18/2014,ATL,0,25,27,0,IND,108,ATL,98
400489677,2014,02/19/2014,ATL,0,25,28,1,ATL,97,WSH,114
400489692,2014,02/21/2014,ATL,0,25,29,0,DET,115,ATL,107
400489700,2014,02/22/2014,ATL,1,26,29,1,ATL,107,NY,98
400489722,2014,02/25/2014,ATL,0,26,30,1,ATL,103,CHI,107
400489727,2014,02/26/2014,ATL,0,26,31,0,BOS,115,ATL,104
400489762,2014,03/02/2014,ATL,0,26,32,0,PHX,129,ATL,120
400489786,2014,03/05/2014,ATL,0,26,33,0,POR,102,ATL,78
400489800,2014,03/07/2014,ATL,0,26,34,0,GS,111,ATL,97
400489806,2014,03/08/2014,ATL,0,26,35,0,LAC,109,ATL,108
400489821,2014,03/10/2014,ATL,1,27,35,0,UTAH,110,ATL,112
400489842,2014,03/13/2014,ATL,1,28,35,1,ATL,102,MIL,97
400489856,2014,03/15/2014,ATL,1,29,35,1,ATL,97,DEN,92
400489869,2014,03/17/2014,ATL,1,30,35,0,CHA,83,ATL,97
400489877,2014,03/18/2014,ATL,1,31,35,1,ATL,118,TOR,113
400489898,2014,03/21/2014,ATL,0,31,36,1,ATL,105,NO,111
400489913,2014,03/23/2014,ATL,0,31,37,0,TOR,96,ATL,86
400489921,2014,03/24/2014,ATL,0,31,38,1,ATL,95,PHX,102
400489938,2014,03/26/2014,ATL,0,31,39,0,MIN,107,ATL,83
