team_abbrv,sum_win,sum_loss,model1_sum_win,model1_sum_loss,model1_sum_error,model1_wt_pick_correct_flag,model2_sum_win,model2_sum_loss,model2_sum_error,model2_wt_pick_correct_flag,model3_sum_win,model3_sum_loss,model3_sum_error,model3_wt_pick_correct_flag,model3_this_t_mu_mean,model3_this_t_sigma_mean,model3_this_t_wt_pick_mean,model3_other_t_mu_mean,model3_other_t_sigma_mean,model3_other_t_wt_pick_mean,model4_sum_win,model4_sum_loss,model4_sum_error,model4_wt_pick_correct_flag,model4_this_t_mu_mean,model4_this_t_sigma_mean,model4_this_t_wt_pick_mean,model4_other_t_mu_mean,model4_other_t_sigma_mean,model4_other_t_wt_pick_mean
ATL,60.0,22.0,60.0,22.0,0.0,1.0,72.0,10.0,12.0,1.0,49.0,33.0,11.0,0.0,50.0,9.0,48.4827130669,41.5853658537,15.8902439024,41.0473132237,55.0,27.0,5.0,1.0,50.0,9.0,50.544333935,41.5853658537,15.8902439024,42.361014697
BOS,40.0,42.0,41.0,41.0,1.0,1.0,27.0,55.0,13.0,1.0,47.0,35.0,7.0,0.0,43.0,29.0,44.3295837375,41.6951219512,14.987804878,45.1051978578,43.0,39.0,3.0,0.0,43.0,29.0,43.0562596102,41.6951219512,14.987804878,42.2551216902
BKN,38.0,44.0,10.0,72.0,28.0,0.0,31.0,51.0,7.0,1.0,16.0,66.0,22.0,0.0,29.0,15.0,29.1176183748,42.9146341463,15.4390243902,45.349599303,22.0,60.0,16.0,0.0,29.0,15.0,25.515667503,42.9146341463,15.4390243902,43.5706373027
CHA,33.0,49.0,22.0,60.0,11.0,0.0,27.0,55.0,6.0,0.0,33.0,49.0,0.0,1.0,33.0,30.0,33.1210924961,42.4512195122,15.0365853659,43.2515342118,27.0,55.0,6.0,0.0,33.0,30.0,31.5202316888,42.4512195122,15.0365853659,47.8121489074
CHI,50.0,32.0,61.0,21.0,11.0,1.0,62.0,20.0,12.0,1.0,50.0,32.0,0.0,1.0,50.0,16.0,49.5207216166,41.8048780488,15.7195121951,41.9172468464,53.0,29.0,3.0,1.0,50.0,16.0,50.3328839476,41.8048780488,15.7195121951,38.8350395846
CLE,53.0,29.0,73.0,9.0,20.0,0.0,54.0,28.0,1.0,1.0,52.0,30.0,1.0,1.0,57.0,23.0,53.1880766637,41.8292682927,15.0609756098,45.7733097214,55.0,27.0,2.0,1.0,57.0,23.0,55.9476592699,41.8292682927,15.0609756098,41.4967546501
DAL,50.0,32.0,33.0,49.0,17.0,0.0,63.0,19.0,13.0,1.0,40.0,42.0,10.0,1.0,39.0,18.0,40.5522687037,43.0853658537,15.5609756098,39.5166889689,36.0,46.0,14.0,0.0,39.0,18.0,38.7012336416,43.0853658537,15.5609756098,43.6489228262
DEN,30.0,52.0,8.0,74.0,22.0,0.0,23.0,59.0,7.0,0.0,22.0,60.0,8.0,0.0,27.0,14.0,27.2040446519,43.0975609756,15.7073170732,41.7081740403,26.0,56.0,4.0,0.0,27.0,14.0,27.9472701402,43.0975609756,15.7073170732,38.169418815
DET,32.0,50.0,29.0,53.0,3.0,1.0,14.0,68.0,18.0,1.0,30.0,52.0,2.0,1.0,34.0,19.0,34.3711899719,42.4146341463,15.0853658537,44.1663873277,27.0,55.0,5.0,1.0,34.0,19.0,31.3665993258,42.4146341463,15.0853658537,42.9334116892
GS,67.0,15.0,82.0,0.0,15.0,1.0,80.0,2.0,13.0,1.0,67.0,15.0,0.0,1.0,61.0,11.0,62.0922912902,41.7317073171,15.756097561,40.9825975823,64.0,18.0,3.0,1.0,61.0,11.0,60.723943629,41.7317073171,15.756097561,39.814613573
HOU,56.0,26.0,63.0,19.0,7.0,1.0,68.0,14.0,12.0,1.0,55.0,27.0,1.0,1.0,55.0,25.0,55.6824024246,42.243902439,15.2073170732,41.4498552841,50.0,32.0,6.0,0.0,55.0,25.0,54.1539163588,42.243902439,15.2073170732,40.8514482384
IND,38.0,44.0,39.0,42.0,1.0,1.0,27.0,54.0,11.0,1.0,36.0,45.0,2.0,1.0,42.975308642,3.0,42.432522268,42.1358024691,16.3703703704,43.1345324687,42.0,39.0,4.0,1.0,42.975308642,3.0,43.0026113624,42.1358024691,16.3703703704,39.3064974707
LAC,56.0,26.0,69.0,13.0,13.0,0.0,61.0,21.0,5.0,0.0,59.0,23.0,3.0,0.0,57.0,6.0,56.8667280419,41.8414634146,15.743902439,43.8881689182,58.0,24.0,2.0,0.0,57.0,6.0,56.9668939005,41.8414634146,15.743902439,42.0224492037
LAL,21.0,61.0,16.0,66.0,5.0,1.0,8.0,74.0,13.0,1.0,28.0,54.0,7.0,1.0,30.0,24.0,26.7951224991,42.6463414634,14.756097561,42.4624207041,34.0,48.0,13.0,0.0,30.0,24.0,33.8702420216,42.6463414634,14.756097561,43.9058848029
MEM,55.0,27.0,59.0,23.0,4.0,1.0,75.0,7.0,20.0,1.0,52.0,30.0,3.0,1.0,51.0,5.0,50.4821468805,42.3780487805,16.012195122,42.2835473629,53.0,29.0,2.0,1.0,51.0,5.0,50.7407084003,42.3780487805,16.012195122,39.9500618082
MIA,37.0,45.0,49.0,32.0,12.0,0.0,40.0,41.0,3.0,1.0,47.0,34.0,10.0,0.0,45.975308642,17.0,43.6994804769,41.8271604938,15.7530864198,39.1307413449,38.0,43.0,1.0,1.0,45.975308642,17.0,44.9730115989,41.8271604938,15.7530864198,42.3366806611
MIL,41.0,41.0,73.0,9.0,32.0,0.0,44.0,38.0,3.0,1.0,65.0,17.0,24.0,0.0,57.0,1.0,56.9695592578,41.243902439,15.9390243902,42.3166779113,64.0,18.0,23.0,0.0,57.0,1.0,56.8655546071,41.243902439,15.9390243902,38.3612926438
