team_abbrv,sum_win,sum_loss,model1_sum_win,model1_sum_loss,model1_sum_error,model1_wt_pick_correct_flag,model2_sum_win,model2_sum_loss,model2_sum_error,model2_wt_pick_correct_flag,model3_sum_win,model3_sum_loss,model3_sum_error,model3_wt_pick_correct_flag,model3_this_t_mu_mean,model3_this_t_sigma_mean,model3_this_t_wt_pick_mean,model3_other_t_mu_mean,model3_other_t_sigma_mean,model3_other_t_wt_pick_mean,model4_sum_win,model4_sum_loss,model4_sum_error,model4_wt_pick_correct_flag,model4_this_t_mu_mean,model4_this_t_sigma_mean,model4_this_t_wt_pick_mean,model4_other_t_mu_mean,model4_other_t_sigma_mean,model4_other_t_wt_pick_mean
MIN,16.0,66.0,2.0,80.0,14.0,1.0,5.0,77.0,11.0,1.0,20.0,62.0,4.0,1.0,26.0,20.0,24.6290120769,43.2682926829,15.5975609756,42.9698964079,29.0,53.0,13.0,0.0,26.0,20.0,27.8977529162,43.2682926829,15.5975609756,40.5914066872
NO,45.0,37.0,51.0,31.0,6.0,0.0,44.0,38.0,1.0,1.0,51.0,31.0,6.0,0.0,48.0,27.0,48.8817795707,42.3902439024,15.0731707317,41.4715022241,37.0,45.0,8.0,1.0,48.0,27.0,41.763698371,42.3902439024,15.0731707317,43.7877751801
NY,17.0,65.0,18.0,64.0,1.0,1.0,5.0,77.0,12.0,1.0,27.0,55.0,10.0,1.0,32.0,13.0,31.9708341699,42.0365853659,15.6463414634,39.836163393,30.0,52.0,13.0,1.0,32.0,13.0,32.8062694011,42.0365853659,15.6463414634,43.0455985045
OKC,45.0,37.0,75.0,7.0,30.0,0.0,32.0,50.0,13.0,1.0,67.0,15.0,22.0,0.0,58.0,10.0,57.8965670416,41.4268292683,15.4512195122,40.7996951648,67.0,15.0,22.0,0.0,58.0,10.0,57.1465969583,41.4268292683,15.4512195122,40.2448787478
ORL,25.0,57.0,22.0,60.0,3.0,1.0,21.0,61.0,4.0,1.0,27.0,55.0,2.0,1.0,33.0,22.0,33.9728559228,42.6219512195,15.4024390244,44.720135421,36.0,46.0,11.0,0.0,33.0,22.0,34.7118367663,42.6219512195,15.4024390244,40.7000173562
PHI,18.0,64.0,0.0,82.0,18.0,1.0,4.0,78.0,14.0,1.0,21.0,61.0,3.0,1.0,22.0,8.0,20.9486269215,42.8902439024,15.5731707317,39.3658963094,17.0,65.0,1.0,1.0,22.0,8.0,23.2314929691,42.8902439024,15.5731707317,40.5912609531
PHX,39.0,43.0,31.0,50.0,8.0,0.0,40.0,41.0,1.0,1.0,21.0,60.0,18.0,0.0,37.024691358,12.0,36.9119298484,42.8395061728,15.7037037037,45.2081707918,29.0,52.0,10.0,0.0,37.024691358,12.0,34.4191468014,42.8395061728,15.7037037037,42.5079134902
POR,51.0,31.0,8.0,74.0,43.0,0.0,68.0,14.0,17.0,1.0,10.0,72.0,41.0,0.0,27.0,7.0,26.9435667099,43.012195122,15.8170731707,46.9697011543,17.0,65.0,34.0,0.0,27.0,7.0,26.8523967096,43.012195122,15.8170731707,44.5185987862
SAC,29.0,53.0,18.0,64.0,11.0,1.0,26.0,56.0,3.0,1.0,24.0,58.0,5.0,1.0,31.0,2.0,31.3895687948,43.4024390244,16.0,43.2916808354,20.0,62.0,9.0,1.0,31.0,2.0,30.8415177773,43.4024390244,16.0,44.3234592584
SA,55.0,27.0,79.0,3.0,24.0,0.0,54.0,28.0,1.0,1.0,61.0,21.0,6.0,0.0,59.0,28.0,62.982557008,41.512195122,14.7804878049,43.890701886,53.0,29.0,2.0,1.0,59.0,28.0,53.8952767019,41.512195122,14.7804878049,43.2080762987
TOR,49.0,33.0,50.0,31.0,1.0,1.0,65.0,16.0,16.0,1.0,46.0,35.0,3.0,1.0,46.024691358,4.0,46.1777252305,41.4074074074,16.2962962963,44.1624582219,43.0,38.0,6.0,0.0,46.024691358,4.0,46.4248601722,41.4074074074,16.2962962963,43.7289160337
UTAH,38.0,44.0,38.0,44.0,0.0,1.0,26.0,56.0,12.0,1.0,37.0,45.0,1.0,1.0,41.0,21.0,37.9955371715,42.5853658537,14.8170731707,41.1519256002,48.0,34.0,10.0,0.0,41.0,21.0,44.2069306688,42.5853658537,14.8170731707,40.6811629411
WSH,46.0,36.0,49.0,33.0,3.0,1.0,62.0,20.0,16.0,1.0,48.0,34.0,2.0,1.0,46.0,26.0,46.5135353074,41.6341463415,15.1585365854,41.0478294929,49.0,33.0,3.0,1.0,46.0,26.0,49.7842269753,41.6341463415,15.1585365854,41.58416838
,1230.0,1230.0,1228.0,1228.0,364.0,17.0,1228.0,1228.0,290.0,27.0,1208.0,1248.0,234.0,18.0,1268.0,465.0,1262.1216582,1267.95377898,465.342968985,1278.36974998,1222.0,1234.0,254.0,14.0,1268.0,465.0,1260.21102413,1267.95377898,465.342968985,1257.14463118
,41.0,41.0,40.9333333333,40.9333333333,12.1333333333,0.566666666667,40.9333333333,40.9333333333,9.66666666667,0.9,40.2666666667,41.6,7.8,0.6,42.2666666667,15.5,42.0707219399,42.2651259661,15.5114322995,42.6123249993,40.7333333333,41.1333333333,8.46666666667,0.466666666667,42.2666666667,15.5,42.0070341376,42.2651259661,15.5114322995,41.9048210394
