team_abbrv,sum_win,sum_loss,model1_sum_win,model1_sum_loss,model1_sum_error,model1_wt_pick_correct_flag,model2_sum_win,model2_sum_loss,model2_sum_error,model2_wt_pick_correct_flag,model3_sum_win,model3_sum_loss,model3_sum_error,model3_wt_pick_correct_flag,model3_this_t_mu_mean,model3_this_t_sigma_mean,model3_this_t_wt_pick_mean,model3_other_t_mu_mean,model3_other_t_sigma_mean,model3_other_t_wt_pick_mean,model4_sum_win,model4_sum_loss,model4_sum_error,model4_wt_pick_correct_flag,model4_this_t_mu_mean,model4_this_t_sigma_mean,model4_this_t_wt_pick_mean,model4_other_t_mu_mean,model4_other_t_sigma_mean,model4_other_t_wt_pick_mean
ATL,38.0,44.0,33.0,49.0,5.0,1.0,44.0,38.0,6.0,0.0,42.0,40.0,4.0,0.0,41.0,28.0,43.7966860001,41.4634146341,14.8658536585,41.096258966,46.0,36.0,8.0,0.0,41.0,28.0,46.4909430165,41.4634146341,14.8658536585,41.6795958445
BOS,25.0,57.0,12.0,70.0,13.0,1.0,20.0,62.0,5.0,1.0,23.0,59.0,2.0,1.0,27.0,27.0,21.4007346847,41.3780487805,14.6463414634,43.2457402352,18.0,64.0,7.0,1.0,27.0,27.0,20.7664309861,41.3780487805,14.6463414634,42.5037266072
BKN,44.0,38.0,41.0,41.0,3.0,0.0,35.0,47.0,9.0,0.0,46.0,36.0,2.0,1.0,42.0,16.0,45.2908560208,41.0487804878,15.1829268293,41.4205652272,46.0,36.0,2.0,1.0,42.0,16.0,42.9107715771,41.0487804878,15.1829268293,36.2450584542
CHA,43.0,39.0,51.0,31.0,8.0,0.0,39.0,43.0,4.0,1.0,43.0,39.0,0.0,1.0,46.0,17.0,44.0485904655,41.1585365854,14.9024390244,43.2856472189,45.0,37.0,2.0,1.0,46.0,17.0,47.3276938526,41.1585365854,14.9024390244,43.0950199407
CHI,48.0,34.0,73.0,9.0,25.0,0.0,48.0,34.0,0.0,1.0,64.0,18.0,16.0,0.0,56.0,10.0,55.2950633257,40.6585365854,15.2682926829,37.6808448151,63.0,19.0,15.0,0.0,56.0,10.0,56.6396102957,40.6585365854,15.2682926829,40.7604928034
CLE,33.0,49.0,81.0,0.0,48.0,0.0,19.0,62.0,14.0,1.0,63.0,18.0,30.0,0.0,59.024691358,9.0,59.7323998519,40.4567901235,15.0,38.3331178133,67.0,14.0,34.0,0.0,59.024691358,9.0,57.7127780978,40.4567901235,15.0,40.1529923532
DAL,49.0,33.0,59.0,23.0,10.0,0.0,55.0,27.0,6.0,0.0,45.0,37.0,4.0,1.0,50.0,26.0,45.4570635828,42.1219512195,15.1097560976,41.8168672075,40.0,42.0,9.0,1.0,50.0,26.0,46.080982391,42.1219512195,15.1097560976,45.002244917
DEN,36.0,46.0,28.0,54.0,8.0,1.0,32.0,50.0,4.0,1.0,40.0,42.0,4.0,1.0,41.0,2.0,40.9696849767,42.7073170732,16.243902439,42.0148954635,37.0,45.0,1.0,1.0,41.0,2.0,41.023704747,42.7073170732,16.243902439,40.8441999813
DET,29.0,53.0,27.0,55.0,2.0,1.0,33.0,49.0,4.0,1.0,31.0,51.0,2.0,1.0,37.0,22.0,32.8347518163,41.3658536585,14.7682926829,42.2523678985,35.0,47.0,6.0,1.0,37.0,22.0,38.0459261487,41.3658536585,14.7682926829,41.7955249986
GS,51.0,31.0,67.0,15.0,16.0,1.0,57.0,25.0,6.0,1.0,47.0,35.0,4.0,0.0,51.0,23.0,48.5674094827,42.1463414634,15.2073170732,40.8398970121,57.0,25.0,6.0,1.0,51.0,23.0,55.2391905315,42.1463414634,15.2073170732,41.6594489522
HOU,54.0,28.0,59.0,23.0,5.0,1.0,63.0,19.0,9.0,1.0,53.0,29.0,1.0,1.0,50.0,18.0,52.957037366,42.3780487805,15.8048780488,41.7201691164,50.0,32.0,4.0,1.0,50.0,18.0,47.3277693846,42.3780487805,15.8048780488,40.6185745168
IND,56.0,26.0,23.0,59.0,33.0,0.0,79.0,3.0,23.0,1.0,27.0,55.0,29.0,0.0,33.0,1.0,33.0709072378,41.7195121951,16.0365853659,41.4522257772,33.0,49.0,23.0,1.0,33.0,1.0,32.9094967654,41.7195121951,16.0365853659,40.8666426711
LAC,57.0,25.0,72.0,10.0,15.0,1.0,68.0,14.0,11.0,1.0,57.0,25.0,0.0,1.0,56.0,25.0,55.3699604466,41.8414634146,15.5853658537,41.1305051521,58.0,24.0,1.0,1.0,56.0,25.0,55.3121854128,41.8414634146,15.5853658537,40.1201584227
LAL,27.0,55.0,20.0,62.0,7.0,1.0,30.0,52.0,3.0,1.0,32.0,50.0,5.0,0.0,32.0,29.0,32.4574393518,43.0,15.3658536585,43.0718842371,35.0,47.0,8.0,0.0,32.0,29.0,33.3599441307,43.0,15.3658536585,39.4397089828
