team_abbrv,sum_win,sum_loss,model1_sum_win,model1_sum_loss,model1_sum_error,model1_wt_pick_correct_flag,model2_sum_win,model2_sum_loss,model2_sum_error,model2_wt_pick_correct_flag,model3_sum_win,model3_sum_loss,model3_sum_error,model3_wt_pick_correct_flag,model3_this_t_mu_mean,model3_this_t_sigma_mean,model3_this_t_wt_pick_mean,model3_other_t_mu_mean,model3_other_t_sigma_mean,model3_other_t_wt_pick_mean,model4_sum_win,model4_sum_loss,model4_sum_error,model4_wt_pick_correct_flag,model4_this_t_mu_mean,model4_this_t_sigma_mean,model4_this_t_wt_pick_mean,model4_other_t_mu_mean,model4_other_t_sigma_mean,model4_other_t_wt_pick_mean
MEM,50.0,32.0,49.0,33.0,1.0,1.0,43.0,39.0,7.0,0.0,52.0,30.0,2.0,1.0,49.0,12.0,49.0828780252,42.4146341463,15.9024390244,39.5678715825,54.0,28.0,4.0,1.0,49.0,12.0,49.9358282417,42.4146341463,15.9024390244,44.0756817356
MIA,54.0,28.0,47.0,35.0,7.0,1.0,72.0,10.0,18.0,1.0,46.0,36.0,8.0,1.0,44.0,19.0,45.090951722,41.5,15.1707317073,38.317127789,41.0,41.0,13.0,0.0,44.0,19.0,45.4865978076,41.5,15.1707317073,46.3605141697
MIL,15.0,67.0,3.0,79.0,12.0,1.0,2.0,80.0,13.0,1.0,20.0,62.0,5.0,1.0,25.0,3.0,25.2224336836,42.2317073171,15.6585365854,40.8117575261,20.0,62.0,5.0,1.0,25.0,3.0,24.6452689376,42.2317073171,15.6585365854,40.2107309594
MIN,40.0,42.0,6.0,76.0,34.0,0.0,38.0,44.0,2.0,1.0,17.0,65.0,23.0,0.0,26.0,21.0,22.0175471776,43.1585365854,15.6829268293,44.3087305788,29.0,53.0,11.0,1.0,26.0,21.0,24.7848053553,43.1585365854,15.6829268293,39.9691337083
NO,34.0,48.0,35.0,47.0,1.0,1.0,24.0,58.0,10.0,1.0,42.0,40.0,8.0,0.0,42.0,6.0,42.5083651299,42.6951219512,15.6951219512,43.0600261746,39.0,43.0,5.0,1.0,42.0,6.0,42.4326597258,42.6951219512,15.6951219512,42.3795815069
NY,37.0,45.0,32.0,50.0,5.0,1.0,20.0,62.0,17.0,1.0,39.0,43.0,2.0,1.0,41.0,9.0,39.1994092915,41.3780487805,15.5609756098,41.8309407822,42.0,40.0,5.0,0.0,41.0,9.0,40.5262010734,41.3780487805,15.5609756098,39.2494935848
OKC,59.0,23.0,80.0,2.0,21.0,1.0,75.0,7.0,16.0,1.0,53.0,29.0,6.0,0.0,58.0,30.0,58.2993779283,41.6829268293,15.012195122,42.8824234837,58.0,24.0,1.0,1.0,58.0,30.0,62.3582518672,41.6829268293,15.012195122,39.66156825
ORL,23.0,59.0,16.0,65.0,7.0,1.0,14.0,67.0,9.0,1.0,24.0,57.0,1.0,1.0,28.975308642,15.0,26.9736774937,41.3456790123,15.1851851852,43.0597187386,22.0,59.0,1.0,1.0,28.975308642,15.0,30.1177765265,41.3456790123,15.1851851852,41.5096139654
PHI,19.0,63.0,0.0,82.0,19.0,0.0,15.0,67.0,4.0,0.0,6.0,76.0,13.0,0.0,16.0,5.0,16.7772798828,42.6707317073,15.7682926829,46.5070385254,9.0,73.0,10.0,0.0,16.0,5.0,16.0248983456,42.6707317073,15.7682926829,42.2057738817
PHX,48.0,34.0,41.0,41.0,7.0,0.0,54.0,28.0,6.0,1.0,42.0,40.0,6.0,0.0,43.0,8.0,41.0850191342,42.4390243902,15.6951219512,42.3193165796,37.0,45.0,11.0,0.0,43.0,8.0,42.9195504796,42.4390243902,15.6951219512,45.0595062269
POR,54.0,28.0,51.0,31.0,3.0,1.0,68.0,14.0,14.0,1.0,51.0,31.0,3.0,1.0,49.0,4.0,49.5356087352,42.1097560976,15.9268292683,43.2893110662,53.0,29.0,1.0,1.0,49.0,4.0,48.9204930141,42.1097560976,15.9268292683,44.3524239205
SAC,28.0,54.0,15.0,67.0,13.0,1.0,11.0,71.0,17.0,1.0,28.0,54.0,0.0,1.0,31.0,20.0,32.2908971686,43.1585365854,15.8536585366,43.3747230536,28.0,54.0,0.0,1.0,31.0,20.0,34.2007899227,43.1585365854,15.8536585366,43.0122517827
SA,62.0,20.0,76.0,6.0,14.0,1.0,78.0,4.0,16.0,1.0,61.0,21.0,1.0,1.0,57.0,7.0,56.4556060027,42.1219512195,16.0731707317,44.1572325232,66.0,16.0,4.0,1.0,57.0,7.0,58.1979547569,42.1219512195,16.0731707317,42.1126475021
TOR,48.0,34.0,63.0,19.0,15.0,0.0,50.0,32.0,2.0,0.0,59.0,23.0,11.0,0.0,50.0,24.0,57.4313083752,40.6707317073,14.6951219512,41.4020620725,54.0,28.0,6.0,0.0,50.0,24.0,51.2809699895,40.6707317073,14.6951219512,42.1673437392
UTAH,25.0,57.0,6.0,76.0,19.0,1.0,7.0,75.0,18.0,1.0,14.0,68.0,11.0,1.0,26.0,13.0,25.3024027959,43.243902439,15.6951219512,43.6098688433,15.0,67.0,10.0,1.0,26.0,13.0,28.0064297073,43.243902439,15.6951219512,46.2294992619
WSH,44.0,38.0,63.0,19.0,19.0,0.0,36.0,46.0,8.0,1.0,53.0,29.0,9.0,0.0,50.0,14.0,50.7548162422,40.6585365854,15.512195122,43.3258984347,51.0,31.0,7.0,0.0,50.0,14.0,46.9475486062,40.6585365854,15.512195122,43.6543315707
,1230.0,1230.0,1229.0,1229.0,395.0,19.0,1229.0,1229.0,281.0,24.0,1220.0,1238.0,212.0,17.0,1257.0,463.0,1249.2761634,1256.92442036,463.075429088,1261.18503389,1248.0,1210.0,220.0,20.0,1257.0,463.0,1267.93345169,1256.92442036,463.075429088,1256.99348521
,41.0,41.0,40.9666666667,40.9666666667,13.1666666667,0.633333333333,40.9666666667,40.9666666667,9.36666666667,0.8,40.6666666667,41.2666666667,7.06666666667,0.566666666667,41.9,15.4333333333,41.6425387799,41.8974806785,15.4358476363,42.0395011298,41.6,40.3333333333,7.33333333333,0.666666666667,41.9,15.4333333333,42.2644483898,41.8974806785,15.4358476363,41.8997828404
